species,leaf.sp,temperature,shredding.days,fpom,amp.weight,dead.day
C,Oak,8,14,-3.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,3.715,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-0.285,NA,15
C,Oak,20,14,0.715,NA,15
C,Oak,20,14,2.715,NA,15
C,Oak,20,14,-0.285,NA,15
C,Oak,20,14,-3.285,NA,15
C,Oak,20,14,1.715,NA,15
C,Oak,20,14,-3.285,NA,15
C,Alder,20,14,-2.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-3.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-0.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-3.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,0.715,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-5.285,NA,15
C,Alder,8,14,1.715,NA,15
C,Alder,8,14,-4.285,NA,15
C,Alder,8,14,-3.285,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-5.285,NA,15
C,Alder,20,14,-6.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-6.285,NA,15
C,Oak,8,14,-3.285,NA,15
C,Oak,8,14,-0.285,NA,15
C,Oak,8,14,-0.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-5.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-3.285,NA,15
C,Oak,20,14,-1.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Sycamore,20,14,-2.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Sycamore,20,14,-8.285,NA,15
C,Sycamore,20,14,-5.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Sycamore,20,14,-8.285,NA,15
C,Sycamore,20,14,-7.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-3.285,NA,15
C,Sycamore,20,14,-2.285,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,8,14,-3.285,NA,15
C,Sycamore,20,14,-5.285,NA,15
C,Sycamore,20,14,-4.285,NA,15
C,Sycamore,14,14,2.7,NA,15
C,Alder,14,14,10.9,NA,15
C,Alder,14,14,1.4,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Sycamore,14,14,1.6,NA,15
C,Alder,14,14,1.5,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,0.8,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,0.9,NA,15
C,Sycamore,14,14,1.9,NA,15
C,Sycamore,14,14,1.3,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Alder,14,14,1.2,NA,15
C,Sycamore,14,14,1,NA,15
C,Sycamore,14,14,1.9,NA,15
C,Alder,14,14,1.4,NA,15
C,Alder,14,14,1.4,NA,15
C,Oak,14,14,0.6,NA,15
C,Oak,14,14,1.5,NA,15
C,Oak,14,14,2.3,NA,15
C,Sycamore,14,14,1.7,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Oak,14,14,1.4,NA,15
C,Oak,14,14,0.3,NA,15
C,Oak,14,14,1.1,NA,15
C,Oak,14,14,2.5,NA,15
C,Oak,14,14,0.9,NA,15
C,Oak,14,14,1,NA,15
C,Oak,14,14,0.7,NA,15
DH,Alder,14,14,18.9,42.1,15
DH,Sycamore,14,14,8.5,34.9,15
DH,Oak,14,14,2.4,51.8,15
DH,Alder,14,14,13.4,31.7,15
DH,Oak,14,14,0.5,71.1,15
DH,Sycamore,14,14,8.1,99.6,15
DH,Oak,14,14,2.4,29,15
DH,Oak,14,14,4.8,39.9,15
DH,Oak,14,14,2,18.1,15
DH,Alder,14,14,10.3,21.5,15
DH,Oak,14,14,2.2,22.3,15
DH,Alder,14,14,11.1,22.7,15
DH,Alder,14,14,20.4,57.7,15
DH,Sycamore,14,14,8.8,35.6,15
DH,Alder,14,14,10.3,25.7,15
DH,Oak,14,14,3.5,25,15
DV,Sycamore,14,14,15.7,71,15
DV,Sycamore,14,14,10.6,53.7,15
DV,Alder,14,14,29.6,43,15
DV,Sycamore,14,14,9.8,33.2,15
DV,Oak,14,14,5.4,50.4,15
DV,Alder,14,14,26.5,60.8,15
DV,Alder,14,14,29.6,47.8,15
DV,Oak,14,14,3.9,33.5,15
DV,Alder,14,14,31,52.7,15
DV,Alder,14,14,27.9,96.5,15
DV,Oak,14,14,4.5,30.9,15
DV,Alder,14,14,21,23.5,15
DV,Oak,14,14,4.6,29.6,15
DV,Oak,14,14,6.2,32.6,15
DV,Oak,14,14,6.2,32.6,15
DV,Sycamore,14,14,5.2,33.7,15
DV,Sycamore,14,14,8,47.9,15
DV,Alder,14,14,19.4,28,15
DV,Sycamore,14,14,6.9,27.7,15
DV,Sycamore,14,14,7.7,63.2,15
DV,Oak,14,14,5.8,63.3,15
DV,Oak,14,14,4,31.6,15
DV,Oak,14,14,5.1,21.5,15
DV,Alder,14,14,30.6,60.7,15
DV,Sycamore,14,14,15,41.4,15
DV,Sycamore,14,14,5.5,23.1,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,7.6,34.2,15
GP,Oak,14,14,6.9,28.8,15
GP,Sycamore,14,14,13.5,31.6,15
GP,Oak,14,14,6.3,24.5,15
GP,Oak,14,14,7.4,29.7,15
GP,Oak,14,14,6.8,37.8,15
GP,Alder,14,14,6.8,30,15
GP,Sycamore,14,14,21.6,38.5,15
GP,Oak,14,14,6.4,28,15
GP,Sycamore,14,14,8.5,28,15
GP,Sycamore,14,14,17.7,30.3,15
GP,Alder,14,14,8.9,27.7,15
GP,Sycamore,14,14,7.5,47.2,15
GP,Alder,14,14,20,38.9,15
GP,Alder,14,14,18.9,37.3,15
GP,Sycamore,14,14,9.2,27.4,15
GP,Alder,14,14,12.3,23.1,15
GP,Alder,14,14,17.9,47,15
GP,Alder,14,14,12.5,31.4,15
GP,Sycamore,14,14,9.9,44.2,15
GP,Sycamore,14,14,11.4,28.9,15
GP,Oak,14,14,8.9,38.5,15
GP,Oak,14,14,6.6,39.2,15
GP,Alder,14,14,19.8,45,15
GP,Sycamore,14,14,4.5,36,15
GP,Alder,14,14,9.8,48.4,15
GP,Alder,14,14,17.3,31.4,15
C,Oak,14,14,0.7,NA,15
C,Oak,14,14,-0.1,NA,15
C,Oak,14,14,2.4,NA,15
C,Oak,14,14,1.7,NA,15
C,Oak,14,14,0.8,NA,15
C,Oak,14,14,1.6,NA,15
C,Oak,14,14,0.9,NA,15
C,Oak,14,14,1.7,NA,15
C,Oak,14,14,1.8,NA,15
C,Oak,14,14,2.4,NA,15
C,Oak,14,14,1.5,NA,15
C,Oak,14,14,1.4,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,1,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Sycamore,14,14,-7.6,NA,15
C,Sycamore,14,14,2.2,NA,15
C,Sycamore,14,14,2.2,NA,15
C,Sycamore,14,14,3.2,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Oak,14,14,1.3,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,2.1,NA,15
C,Sycamore,14,14,1.4,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Sycamore,14,14,1.5,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Oak,14,14,2.1,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Alder,14,14,1.8,NA,15
C,Alder,14,14,2.1,NA,15
C,Alder,14,14,1.5,NA,15
C,Alder,14,14,4.2,NA,15
C,Alder,14,14,2.4,NA,15
C,Alder,14,14,2.2,NA,15
C,Alder,14,14,3.3,NA,15
C,Alder,14,14,1.7,NA,15
C,Alder,14,14,2.4,NA,15
C,Oak,14,14,2.7,NA,15
C,Alder,14,14,2.4,NA,15
C,Alder,14,14,2.1,NA,15
C,Alder,14,14,1.8,NA,15
C,Alder,14,14,2.3,NA,15
C,Alder,14,14,1.6,NA,15
C,Alder,14,14,1.1,NA,15
C,Alder,14,14,3.7,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,2,NA,15
C,Oak,14,14,0.9,NA,15
C,Alder,14,14,0.9,NA,15
C,Oak,14,14,1.2,NA,15
C,Oak,14,14,1.3,NA,15
C,Oak,14,14,1,NA,15
DH,Sycamore,14,14,13.5,44.1,15
DH,Sycamore,14,14,10.6,38.5,15
DH,Sycamore,14,14,10.8,32.4,15
DH,Sycamore,14,2,1.1,44.3,3
DH,Sycamore,14,14,10.8,42,15
DH,Sycamore,14,10,11.7,38,11
DH,Sycamore,14,14,10.2,57,15
DH,Sycamore,14,14,3.1,48,15
DH,Sycamore,14,14,10.8,37.4,15
DH,Sycamore,14,14,13.6,62.3,15
DH,Sycamore,14,14,14,73.7,15
DH,Alder,14,14,5.6,49.6,15
DH,Alder,14,14,23.4,51.5,15
DH,Alder,14,14,3.6,37.1,15
DH,Alder,14,14,2.1,33.6,15
DH,Alder,14,4,1.4,39.1,5
DH,Alder,14,14,17.2,58.9,15
DH,Alder,14,14,4.1,41.3,15
DH,Sycamore,14,1,0.9,63.7,2
DH,Alder,14,14,11.5,75.5,15
DH,Alder,14,14,12.2,55.1,15
DH,Alder,14,14,13,49,15
DH,Alder,14,8,5.9,35.5,9
DH,Alder,14,6,1.2,14.1,7
DH,Alder,14,14,25.2,75.9,15
DH,Alder,14,14,20.9,61.5,15
DH,Sycamore,14,14,11.4,32.2,15
DH,Alder,14,10,3.2,43.4,11
DH,Oak,14,14,2.7,39.7,15
DH,Oak,14,0,-0.5,27,1
DH,Oak,14,14,1.3,41.1,15
DH,Oak,14,14,3.6,51.6,15
DH,Oak,14,0,-0.2,46.5,1
DH,Oak,14,14,1.6,54.6,15
DH,Oak,14,10,2.4,52.5,11
DH,Sycamore,14,14,5.5,30.5,15
DH,Oak,14,14,4.5,53.2,15
DH,Oak,14,14,3,50.5,15
DH,Oak,14,14,2.2,62.8,15
DH,Oak,14,14,1.1,21.4,15
DH,Oak,14,4,0.5,63.1,5
DH,Oak,14,10,3.4,75.9,11
DH,Oak,14,10,3.4,75.9,11
DH,Oak,14,0,-0.1,24.3,1
DH,Oak,14,14,4.8,62.1,15
DH,Oak,14,2,1.3,49,3
DH,Sycamore,14,14,6.9,21,15
DH,Oak,14,14,1.4,32.1,15
DH,Sycamore,14,14,13,54.7,15
DH,Oak,14,1,1,41.5,2
DH,Alder,14,14,29.9,84.8,15
DH,Alder,14,14,29.9,84.8,15
DH,Alder,14,2,1.2,66.8,3
DH,Oak,14,10,2.3,30.5,11
DH,Alder,14,14,9.3,63.2,15
DH,Sycamore,14,14,11.9,56.4,15
DH,Alder,14,14,3.3,NA,15
DH,Sycamore,14,4,3.3,23.5,5
DH,Sycamore,14,14,12.4,27.1,15
DV,Oak,14,7,4.3,91,8
DV,Oak,14,5,2,52.6,6
DV,Oak,14,14,8.1,60.4,15
DV,Oak,14,10,4.1,77.2,11
DV,Oak,14,5,2.2,81.1,6
DV,Oak,14,4,0.9,61.4,5
DV,Oak,14,14,6.7,63.2,15
DV,Oak,14,1,1.7,101.3,2
DV,Oak,14,14,9.3,144.9,15
DV,Oak,14,14,13.4,103.3,15
DV,Oak,14,0,1.5,75.4,1
DV,Oak,14,4,4.7,116,5
DV,Oak,14,12,2.2,57.5,13
DV,Alder,14,0,0,58.9,1
DV,Alder,14,14,34,88.5,15
DV,Alder,14,14,25.7,38.6,15
DV,Alder,14,14,29.3,89.4,15
DV,Alder,14,0,0.8,99.2,1
DV,Alder,14,1,3,87.6,2
DV,Alder,14,14,31,101,15
DV,Oak,14,7,2.5,79.8,8
DV,Alder,14,14,30.7,75.8,15
DV,Alder,14,14,36.7,100.3,15
DV,Alder,14,14,26.6,136.9,15
DV,Alder,14,14,34.1,91.4,15
DV,Alder,14,14,29.7,64.4,15
DV,Alder,14,14,30.2,58.9,15
DV,Alder,14,14,27.3,74.5,15
DV,Alder,14,14,39.9,74.2,15
DV,Alder,14,14,28.7,82.7,15
DV,Alder,14,14,35.8,68.3,15
DV,Alder,14,14,26,74.4,15
DV,Sycamore,14,14,10.5,83.7,15
DV,Sycamore,14,14,10.9,114.9,15
DV,Sycamore,14,0,-0.2,96,1
DV,Sycamore,14,14,14.6,46.3,15
DV,Sycamore,14,14,18.6,158,15
DV,Sycamore,14,0,1.8,40.2,1
DV,Sycamore,14,0,-0.3,74.8,1
DV,Sycamore,14,14,11.1,127.2,15
DV,Oak,14,14,8.4,60.4,15
DV,Sycamore,14,2,4,59.2,3
DV,Sycamore,14,14,14.4,107,15
DV,Sycamore,14,14,13.5,114.7,15
DV,Sycamore,14,2,12.7,102.4,3
DV,Sycamore,14,14,14.5,80.1,15
DV,Sycamore,14,14,12.8,72.5,15
DV,Sycamore,14,4,5.9,129.8,5
DV,Sycamore,14,14,11.2,108.1,15
DV,Sycamore,14,5,4.9,58.8,6
DV,Sycamore,14,14,13.6,77.6,15
DV,Sycamore,14,14,11.8,109.2,15
DV,Alder,14,14,25.2,88.1,15
DV,Oak,14,10,3.3,50.3,11
DV,Oak,14,10,5.5,67.6,11
DV,Oak,14,2,1.4,61,3
DV,Oak,14,2,1.2,91.5,3
GP,Alder,14,14,15.7,38.3,15
GP,Alder,14,14,17.4,38.3,15
GP,Alder,14,14,27,56.6,15
GP,Alder,14,0,0.9,47,1
GP,Alder,14,3,2,37.3,4
GP,Alder,14,14,23.4,37.4,15
GP,Alder,14,14,13,40.3,15
GP,Alder,14,14,16.5,40.2,15
GP,Alder,14,14,21.9,45.3,15
GP,Alder,14,14,28.7,56.7,15
GP,Alder,14,14,13.6,30.2,15
GP,Alder,14,14,19.5,52.6,15
GP,Sycamore,14,14,0.8,39.9,15
GP,Sycamore,14,11,5.4,45.8,12
GP,Sycamore,14,14,14.4,40.7,15
GP,Sycamore,14,14,13.2,41.6,15
GP,Sycamore,14,14,4.5,36.4,15
GP,Sycamore,14,14,11.4,32.9,15
GP,Sycamore,14,14,12,40.8,15
GP,Sycamore,14,14,29.2,46.1,15
GP,Alder,14,14,16.2,50.4,15
GP,Sycamore,14,1,1.4,44.4,2
GP,Sycamore,14,0,0.6,39.7,1
GP,Sycamore,14,14,17.7,40.1,15
GP,Sycamore,14,14,11.1,39.2,15
GP,Sycamore,14,14,17,34,15
GP,Sycamore,14,7,2.7,37.7,8
GP,Sycamore,14,14,12.8,42.7,15
GP,Sycamore,14,14,13.1,52.8,15
GP,Sycamore,14,7,5,34.9,8
GP,Sycamore,14,0,1.5,35.5,1
GP,Alder,14,14,15.9,44.4,15
GP,Sycamore,14,14,15.7,38.2,15
GP,Oak,14,14,8.4,27.6,15
GP,Oak,14,14,8.3,33,15
GP,Oak,14,2,1.9,37.1,3
GP,Oak,14,14,7.3,32.7,15
GP,Oak,14,1,1.1,45.2,2
GP,Oak,14,0,2.7,24.2,1
GP,Oak,14,14,7.3,47.3,15
GP,Oak,14,14,9,39.8,15
GP,Alder,14,0,0.5,45.4,1
GP,Oak,14,14,11.1,33.5,15
GP,Oak,14,14,5.9,40.5,15
GP,Oak,14,2,1.9,41.5,3
GP,Oak,14,2,1.8,40.5,3
GP,Oak,14,14,5.9,35.7,15
GP,Oak,14,2,2.2,46.1,3
GP,Oak,14,14,13,32,15
GP,Oak,14,10,3.3,36.7,11
GP,Oak,14,14,11.6,37.7,15
GP,Oak,14,14,6.7,38.1,15
GP,Alder,14,14,29.1,46.5,15
GP,Oak,14,0,1.3,36.4,1
GP,Alder,14,14,22.4,26.4,15
GP,Sycamore,14,14,13.8,34,15
GP,Oak,14,14,14.1,49.2,15
GP,Alder,14,14,29,54,15
GP,Alder,14,14,15.9,33.2,15
GP,Alder,14,14,23.1,42.7,15
